max(likes),canal
8,"!Los amorosos ViralesÂ¡"
6208,#AndresSTyle
34387,#HolaSoyDanny
1295,#NAME?
76278,"#Refugio Mental"
1187,#SobreVivoEnGuerrero
4085,"#Victor Daniel"
7072,#YEYNET
5360,#nebyvlogs
148,-PUCHIS-
588,007hernyvideos
1023,"01-800 CNCO"
597,011Novelas
46,"08 RG"
4242,"1,999,999 visualizaciones"
51977,102.7KIISFM
224,123
97,1983chente
29,1Fila
1996,1UP
131508,"1theK (ì›ë”ì¼€ì´)"
2505,"20 Centimos"
65650,"2018 BTS FESTA"
442167,"20th Century Fox"
40203,"20th Century Fox LA"
57542,21SavageVEVO
269,"23 KI SBO"
6,"24 HORAS. El Diario sin LÃ­mites"
17712,"24 Noticias - JUCA"
380,"24H Noticias de hoy"
9,"3 cty"
2189,"3.186.368 ditonton"
414,"31 minutos"
2342,3511Media
4033,"360 Ve"
1997,365BOCETOS
162,"3l bar sinson xD"
151,"44 Tv"
1418,"450 000 views"
0,"5 Seconds of Summer"
46504,"5-Minute Crafts"
294,"5.6 M visualizaciones."
106542,5SOSVEVO
654,"5in Controll"
71,66Angelanna
170,6brsrkr9
100,"73M Vistas"
449928,8cho
734,8segundos
1096,"90 Minutes"
1872,90sPopTourVEVO
7125,"911 BTS"
24306,9LILG
5705,"9mmdelta Alberto FermÃ¡n"
189,"A 7V G E L O"
507,"A Bola"
137,"A Kete"
134,"A Toda Ciencia"
6960,"A bailar con Maga"
2207,"A la Yugular Noticias"
3242,"A mÃ­ me dicen MuÃ±e"
5442,"A team"
4332,"AAlex Kenet"
71,"AB Music"
3942,"ABBY RABBIT"
15998,"ABC News"
6495,"ABC News (Australia)"
49,"ABC Noticias"
13337,"ABC Television Network"
15532,"ABC Television Stations"
276,"ABC la serie"
331,"ACERTIJOS EN 7 SEGUNDOS"
2957,"ACT II"
216,"ADAMI RAMDON SDLG"
3651,"ADN OpiniÃ³n"
4212,"ADRIANA LUNA VIDEOS"
49,"AE Noticias"
2591,"AF FOOTBALL"
8402,AFernandezVEVO
6363,"AFmedios Noticias de Colima"
541,"AGENCIA EFE"
114,"AGM TV NETWORK"
74,"AGUSTIN NIETO"
193,AJcompsHD
183,"AKMP CREW"
632,AL3XEITOR
61,"ALAN GAMER YT"
73,ALAS
3476,"ALEMAN - Topic"
97,"ALERTA MUNDIAL"
19916,"ALEX ZURDO MUSIC"
533,"ALEXIS VIRAL HD"
26,"ALEXIS Ãœ Reyes Soto"
1844,ALEXITY
363,ALG
22398,"ALL THE K-POP"
325,ALXrecords2
497,"AMLO Tv La Izquierda Retoma El Rumbo"
15825,"AMOR ETERNO"
15128,AMX
278,"ANA LAGO"
970,ANFootball
714,"ANGY FLORES"
10710,ANIMEMES
2241,"ANONYMOUS NEWS - RESISTANCE TV"
564,"ANUTRICIONAL TV Nut. Mariana GarcÃ­a Sarquiz"
12102,APerfectCircleVEVO
1817,AQUIPUESCOM
708,"ARGUENDE TV"
4220,"ARMY Park Imagina"
1235,ARREBOL
10629,"ART mas CANAL"
5779,"ASMR WITH SASHA"
786,"ASTRO Ã˜NCE"
834,"ATHLEAN-X EspaÃ±ol"
183,"AUTOMOTRIZ TIPO SPCA"
260,"AVANCES TVS"
38248,"AWE me"
32365,"AYAX Y PROK"
711,AYTEKIN
81,"Aaron Aranda"
5249,"Aaron Echeverria"
10046,Abdyelk&MaxVEVO
63,"Abigail Ajarachi"
4674,"Abimael Estrada"
336,"About Fashion"
106995,AboutRIKIVEVO
28,"Abraham Abraham"
2123,"Abraham Arreola"
13560,AbrahamBass
140377,AbrahamMateoVEVO
2622,AbriendOjosMexicanos
283,"Abuelo 83 Extra"
1880,"Abundancia y Plenitud"
223,Acabatelo
87,"Academia de Musica Calice La Molina - ate - surco"
234,"Acapulco Shore"
42938,Access
1452,Aclex
303,"Acustik  Media"
13974,"Adan Cruz"
109,"Adelantos Rap â€¢"
47905,"Adexe & Nau"
705,"Adexe & Nau FANS"
6092,"AdicciÃ³n al Labial"
2456,"Adictos Musical"
507,"Adrian Futbol"
567,"Adrian Griffin"
70,"Adrian Michel"
1328,"Adriana AngÃ©lica BB"
18517,"AdriÃ¡n Barba"
1194,"AdriÃ¡n Sonic128"
325,"AdriÃ¡n de la Rosa"
117001,"Adult Swim"
16450,"AdÃ¡n Cruz"
80,AeromÃ©xico
1378,"Aesio 91"
11505,"AfinArte Music"
425,AfterMATCH
33,AgLeaf
1797,"Agapito PequeÃ±o"
904,Agaronian
313,"Agencia Bengala"
14,"Aguila Negra.TV"
560,"Agus Goya"
223,"Agustin LZ"
28690,Agustin51
133,"Aguu Comedy"
9732,AgzTv
12,"Ahmed Nasradin"
148,"Ahora Noticias"
217,"Ahora Si Paso"
2553,Ainu
697,Airon
358,"Ajuchitlan del Progreso Guerrero"
25529,"Akapellah Oficial"
7142,"Akari Beauty Official"
13056,"Akashi Tv"
1206,"Akira Lau"
436,"Akira Suzumiya"
1330,Akumaii
3996,"Al Rojo Vivo"
560,"Alan - CrackÃ²via"
7656,"Alan Quartz C."
1249,"Alan Rojas"
780,"Alan SaldaÃ±a oficial"
100121,"Alan Walker"
4572,"Albert Ameri"
1511,"Albert Plash"
10185,Albertiwi
5293,"Alberto Rivera"
879,"Alberto Roy"
2418,"Alberto del Arco"
115,"Alcashor 5"
8775,Alcaton
452,"Aldo MuÃ±iz Estudio"
699,"Ale EstefanÃ­a"
8490,"Ale Ivanova"
221,"Ale Nira"
41609,Alecchi
43100,Alecmolon
321,"Alee mtz ceja"
188,"Aleister Fenriz"
42,"Alejandra MorÃ³n"
926,"Alejandra de Nava"
541,"Alejandro Adonis Herrera"
382,"Alejandro Bedolla Oseguera :v"
1312,"Alejandro BullÃ³n"
0,"Alejandro Casas"
129,"Alejandro GuzmÃ¡n"
2081,"Alejandro ZuÃ±iga"
846,"Alejandro ZuÃ±iga Telenovelas"
368,"Alejandro ZÃºÃ±iga EN VIVO"
1274,AlejandroSanzVEVO
772,"Alejo Lopera InglÃ©s"
77507,"Alejo SuÃ¡rez"
43852,Alejo&Mafe
37,"AlekStone Mx"
47252,AlemÃ¡n
2830,"Alen Cano Arellano"
861,"Alessandra Martell"
11135,"Alex Batako Toons"
71248,"Alex Casas"
1263,"Alex Diaz - elfory"
773,"Alex Diaz Butterfly"
8745,"Alex Edwields"
563,"Alex Entertainment"
791,"Alex Flores"
92,"Alex Fuens"
14,"Alex Gonzalez"
5,"Alex Jimenez"
11,"Alex MeGu"
45263,"Alex Rose Oficial"
415,"Alex SB"
449,"Alex Serna"
1219,"Alex Soto"
2517,"Alex Tienda"
1316,AlexFutbol
120138,AlexSensationVEVO
81167,AlexXxStrecci
2718,"Alexa C"
2233,"Alexa Rod"
1370,"Alexa y Wise Vlogs"
2493,"Alexandr Andreev"
361,"Alexandrova Olga"
717,Alexis
9347,"Alexis Chaires"
506,"Alexis Ingeniero Civil"
3198,"Alexis Moyano"
818,"Alexis Tejada"
49,"Alexito motovlog"
16470,Alfalta90
28,Alfilo
8003,Alfons
904,"Alfonso Dingo Torres"
12944,"Alfonso LeÃ³n"
3046,"Alfred rich"
272,"Alfredo Jalife"
87,"Alfredo Olivas - Topic"
596,"Alfredo Vazquez"
193,"Alfredo soto"
51457,AlfredoOlivasVEVO
8735,Alfrely
297,"Alguien te observa en la oscuridad"
508,AliadosTelefe2017
983,"Aliashraf Purgafari"
1268,"Alicia La PsÃ­quica"
739,"Alien Truth"
2490,Alion
2291,"Alis Channel"
754,"Alita Moli"
502,"Alito Gameplays"
4115,"Allen Cano"
1769,"Alma Maestra Espiritual"
46861,Almighty
1446,"Alo Chapin"
2148,"Alo bitiez?"
129815,AlphaSniper97
558,"Alquimista Tarot AstrolÃ³gico"
376,"Alterado R13 l Letras"
775,"Alvar Reich20"
391,AlvarezCrack
10392,"Alvarito Ochando"
1234,"Alvaro Reyes"
14531,Alvaro845
17566,Alvinsch
2832,"Always Pelotuda"
237,AlwaysUltimateTV
5698,"Alyza Vlogs"
108,"AmBiLReY 07"
381870,"Amara Que Linda"
138,"Amaranta Mk"
1471,"Amayro Kun"
3241,"Amazing Changes"
70,"Amazing Cool Trends"
980,"Amazing OrFunny"
1243,"Amazon Prime Video Mexico"
6927,"Amazon Studios"
1053,"Amazonite 7XG"
10616,AmbkorTv
236,"Ambrocio Zarate"
691,"Ame MayÃ©n"
335,"Amelia tarot"
4517,"America Hoy"
60,AmericaTeVeCanal41
0,Americalcio
9950,"American Idol"
39,"American Studio"
87334,"Americas Got Talent"
412436,"Ami Rodriguez"
1359,"Amir Sevendi"
2616,"Amo Platica Polinesia"
286,"Amo la Musica"
355,"Amo ser una Fujoshis"
1270,AmorYoutuber
4309,"Amoroso TV"
63,"Amoroso Uno"
179,"Amorosos Mexico"
626,"Amorosos VIP"
59,"Amorosos and Flechados"
24422,Ampeterby7
1692,AmusementForce
107,"Amy J. Mayer"
104,"Ana Isabel Rojas Moya"
395,"Ana Lago Exatlon"
121,"Ana Lago Exatlon FAN"
1636,"Ana Mojica Fitness"
341,"Ana TV"
13730,"Ana Vbon"
188,"AnaLago Exatlon"
38659,AnaMenaMusicVEVO
94,"Analisis Progolero"
282,"Andalikan 44"
658,"Andaluz Music Oficial"
1395,"Anderson ProduÃ§Ãµes"
75,"Anderson bica"
24338,Andra
35,"Andre Santos"
356,Andrea
47,"Andrea Acacia"
124,"Andrea Alvarado"
1478,"Andrea Flores Tv"
3400,"Andres Restrepo"
333,Andres123tw
