canal,sum(views)
"Marvel Entertainment",383058026
"YouTube Spotlight",255273304
ibighit,251466087
MalumaVEVO,226697506
"Dude Perfect",172934487
NickyJamTV,162371871
DrossRotzank,160722189
PewDiePie,154828754
Ozuna,144610384
Cracks,143870186
"Bad Bunny",135075729
jbalvinVEVO,123426959
"Universal Pictures",117764649
"Sony Pictures Entertainment",113696495
JuegaGerman,111778573
TaylorSwiftVEVO,110670713
"Troom Troom Es",97915113
"Kylie Jenner",97555703
"20th Century Fox",95762192
LuisFonsiVEVO,95206478
"Daddy Yankee",93795864
"Cardi B",92616719
Badabun,91868132
"GOLAZO TV",90304575
enchufetv,84773877
XpressTV,83557834
"Resumenes FUT",79818143
YandelVEVO,78911681
"Ed Sheeran",77077066
"The Late Show with Stephen Colbert",76269683
"Luisito Comunica",75214893
"Bruno Mars",70537038
"Pina Records",68678242
Maroon5VEVO,63094866
RomeoSantosVEVO,59122437
"Logan Paul Vlogs",54451873
Tri-line,53963107
"Clash Royale",53157960
WWE,50890552
"TikTak Draw",50625241
"Philip DeFranco",49433877
KarolGVEVO,47998041
"#Refugio Mental",47025476
shakiraVEVO,46443185
ChildishGambinoVEVO,46366068
ArianaGrandeVevo,44009075
FBE,43446984
SebastianYatraVEVO,43349930
EnamorÃ¡ndonos,42725981
SpaceX,42686285
NFL,42665790
AsapSCIENCE,42648409
ExtraPolinesios,41881516
BeckyGVEVO,41655925
Makiman131,41654170
"5-Minute Crafts",40488179
"MUEVA Records",39872432
LastWeekTonight,39863446
luisitorey,39673436
"El Pulso De La RepÃºblica",39512846
DebRyanShow,39452189
Coachella,38740070
"Draw My Life en EspaÃ±ol",37997430
"Lil pump",37544245
EnriqueIglesiasVEVO,37455421
DemiLovatoVEVO,37047067
"Luan Palomera",36263147
dosogas,35660256
amazon,34448035
LosPolinesios,34331148
"Dua Lipa",34193117
jypentertainment,33910508
"Saturday Night Live",33729966
NIXBLACK,33426278
"Lele Pons",33411920
"WatchMojo EspaÃ±ol",33286261
"Warner Bros. Pictures",33136628
"The Film Theorists",32472389
"Cracks MX",32222671
JukiLop,31603663
"Jimmy Kimmel Live",30486592
RedeTV,30137465
PostMaloneVEVO,30095720
Musas,30072299
Werevertumorro,29852305
"THE YOLO",29762460
justintimberlakeVEVO,29536410
SMTOWN,28905767
"Paulo Londra",28654888
BuzzFeedVideo,28041116
SelenaGomezVEVO,27709178
ExpCaseros,27681042
Vevo,27676695
"RICARDO ANAYA",27249353
"The Late Late Show with James Corden",26838378
DjMaRiiO,26611422
DrakeVEVO,26588521
"Late Night with Seth Meyers",26576414
"MLG Highlights",26033209
SeÃ±orGolHD,25806545
WORLDSTARHIPHOP,25459442
NorielVEVO,25122245
"PelucheEn ElEstuche",24743000
"The Tonight Show Starring Jimmy Fallon",24658862
Gorillaz,24469403
NickiMinajAtVEVO,24083707
NugoBasilaiaa,24062025
8cho,23992112
"LA DIVAZA",23901956
MigosVEVO,23635097
"BERTH OH!",23492160
"Mis Pastelitos",23487099
"Tu COSMOPOLIS",23333778
JUCA,23126342
KatyPerryVEVO,23083221
REACT,23079952
MaireWink,22945426
Nintendo,22808163
Wolfine,22668891
"Fran MG",22643355
TheEllenShow,22613823
FARRUKOVEVO,22470507
"Eliot Channel Mx",22462354
"Disney Movie Trailers",22458230
CuriosoBen,22245713
TheWeekndVEVO,22054991
"The Daily Show with Trevor Noah",22027433
CNCOVEVO,21689920
Hoy,21681080
TheWillyrex,21565024
wisinofficalVEVO,21293690
"Franco Escamilla",21282256
HellomaphieMX,21205572
Marshmello,21112454
"The Game Theorists",21053905
"Premium Sintesi",20684237
ExatlÃ³n,20648996
KSI,20088410
maurg1,19763535
"Lucas the Spider",19646827
"LaLiga Santander",19572825
PrinceRoyceVEVO,19458740
T-Series,18750639
"Jajaja Buen Chiste",18661073
Mariale,18633650
"Paramount Pictures",18611099
EminemVEVO,18539849
AuronPlay,18514980
h3h3Productions,18425671
DED,18377642
ZaynVEVO,18337275
"Jake Paul",18237066
CamilaCabelloVEVO,18211576
DacostasBakery,18046392
"La Capital",17961325
concienciaradio,17854401
"kien hoang",17839703
"Jordi ENP",17555744
QuePariÃ³!,17488817
CAguileraVEVO,17432030
Wismichu,17264943
"Audio Music",17263960
"Flow La Movie",16995160
FailArmy,16989528
"David Dobrik",16884972
BANGTANTV,16699443
CinemaSins,16538411
"Angel Florian",16378595
Proximity,16179414
WIRED,16118933
DavidBisbalVEVO,16071517
Telemundo,15982146
Google,15934769
"Reto 4 Elementos",15830254
"La Rosa TV",15826614
"DANIEL EL TRAVIESO VIDEOS",15766901
"Caso Cerrado",15724337
"Ami Rodriguez",15710832
darkavenger882,15633092
reikVEVO,15627901
Campechaneando,15554890
"Sebastian Acero",15496412
CalvinHarrisVEVO,15487800
MrMatador,15431995
"Caribers A Bordo",15396900
"La Rosa de Guadalupe",15388578
DoctorePoLLo,15125762
"ROBERT PG",14933566
Arcangel,14890255
"EscorpiÃ³n Dorado el Chido",14883494
"La Voz Kids Colombia",14831792
"Hear This Music",14592003
DramaAlert,14560706
Dankev,14426167
"Kidd Keo",14371517
"Juan De Dios Pantoja",14364586
"Televisa Telenovelas",14244079
"Stygma Beast",14080324
ChainsmokersVEVO,14042085
HRNotas,14011486
"Fred Lammie",13998943
"Venga La AlegrÃ­a",13594224
Diplo,13459102
KendrickLamarVEVO,13446641
"Dettol India",13432309
"Screen Junkies",13277353
VIRAL,13138166
Blossom,13114931
"Cobra Kai",13089644
"Daniel Saavedra",13031422
"Las Estrellas",12958347
"Guardian News",12937886
ThaliaVEVO,12927720
"Curiosidades con Mike",12750852
"NilcoBax â„¦",12659243
Impulse,12625562
"Televisa Deportes",12504447
Ventaneando,12491457
Tuitealo,12479871
"The Weeknd",12464288
"LA LATA",12416827
ShawnMendesVEVO,12415779
"ORJuanAlejandro - YouTube",12414111
GianlucaVacchiVEVO,12286940
"Crusher Mx",12174060
TroyeSivanVEVO,12098442
Disneyâ€¢Pixar,12044489
MissaSinfonia,11954324
"TRYANGLE FILMS",11946293
"The Official PokÃ©mon YouTube channel",11897565
"WorldMusic TV",11737837
VideosTrendy,11707308
"Troom Troom",11549721
"patty dragona",11521077
TrailersTC,11509690
"Sofia Castro",11508149
"marianna lara",11424437
UbisoftSpain,11389456
"Tops Al Chile!",11371874
"Unbox Therapy",11198890
MILENIO,11185526
"VIDEOS VIRALES",11183075
CelineDionVEVO,11099992
piso21music,11025918
"AF FOOTBALL",10951546
"Oraciones en video",10916640
Salomundo,10910537
"HotSpanish Music",10874952
"De viral Tops",10858200
JenniferLopezVEVO,10620019
"Sony Music India",10578423
"Update Music TV",10574101
"Beto Sierra",10519607
CaseyNeistat,10509758
"MasterChef 2017",10494860
BuzzFeedBlue,10491752
Duki,10463526
Wrsh98,10327662
MusicFans,10301993
