sum(views),canal
383058026,"Marvel Entertainment"
255273304,"YouTube Spotlight"
251466087,ibighit
226697506,MalumaVEVO
172934487,"Dude Perfect"
162371871,NickyJamTV
160722189,DrossRotzank
154828754,PewDiePie
144610384,Ozuna
143870186,Cracks
135075729,"Bad Bunny"
123426959,jbalvinVEVO
117764649,"Universal Pictures"
113696495,"Sony Pictures Entertainment"
111778573,JuegaGerman
110670713,TaylorSwiftVEVO
97915113,"Troom Troom Es"
97555703,"Kylie Jenner"
95762192,"20th Century Fox"
95206478,LuisFonsiVEVO
93795864,"Daddy Yankee"
92616719,"Cardi B"
91868132,Badabun
90304575,"GOLAZO TV"
84773877,enchufetv
83557834,XpressTV
79818143,"Resumenes FUT"
78911681,YandelVEVO
77077066,"Ed Sheeran"
76269683,"The Late Show with Stephen Colbert"
75214893,"Luisito Comunica"
70537038,"Bruno Mars"
68678242,"Pina Records"
63094866,Maroon5VEVO
59122437,RomeoSantosVEVO
54451873,"Logan Paul Vlogs"
53963107,Tri-line
53157960,"Clash Royale"
50890552,WWE
50625241,"TikTak Draw"
49433877,"Philip DeFranco"
47998041,KarolGVEVO
47025476,"#Refugio Mental"
46443185,shakiraVEVO
46366068,ChildishGambinoVEVO
44009075,ArianaGrandeVevo
43446984,FBE
43349930,SebastianYatraVEVO
42725981,EnamorÃ¡ndonos
42686285,SpaceX
42665790,NFL
42648409,AsapSCIENCE
41881516,ExtraPolinesios
41655925,BeckyGVEVO
41654170,Makiman131
40488179,"5-Minute Crafts"
39872432,"MUEVA Records"
39863446,LastWeekTonight
39673436,luisitorey
39512846,"El Pulso De La RepÃºblica"
39452189,DebRyanShow
38740070,Coachella
37997430,"Draw My Life en EspaÃ±ol"
37544245,"Lil pump"
37455421,EnriqueIglesiasVEVO
37047067,DemiLovatoVEVO
36263147,"Luan Palomera"
35660256,dosogas
34448035,amazon
34331148,LosPolinesios
34193117,"Dua Lipa"
33910508,jypentertainment
33729966,"Saturday Night Live"
33426278,NIXBLACK
33411920,"Lele Pons"
33286261,"WatchMojo EspaÃ±ol"
33136628,"Warner Bros. Pictures"
32472389,"The Film Theorists"
32222671,"Cracks MX"
31603663,JukiLop
30486592,"Jimmy Kimmel Live"
30137465,RedeTV
30095720,PostMaloneVEVO
30072299,Musas
29852305,Werevertumorro
29762460,"THE YOLO"
29536410,justintimberlakeVEVO
28905767,SMTOWN
28654888,"Paulo Londra"
28041116,BuzzFeedVideo
27709178,SelenaGomezVEVO
27681042,ExpCaseros
27676695,Vevo
27249353,"RICARDO ANAYA"
26838378,"The Late Late Show with James Corden"
26611422,DjMaRiiO
26588521,DrakeVEVO
26576414,"Late Night with Seth Meyers"
26033209,"MLG Highlights"
25806545,SeÃ±orGolHD
25459442,WORLDSTARHIPHOP
25122245,NorielVEVO
24743000,"PelucheEn ElEstuche"
24658862,"The Tonight Show Starring Jimmy Fallon"
24469403,Gorillaz
24083707,NickiMinajAtVEVO
24062025,NugoBasilaiaa
23992112,8cho
23901956,"LA DIVAZA"
23635097,MigosVEVO
23492160,"BERTH OH!"
23487099,"Mis Pastelitos"
23333778,"Tu COSMOPOLIS"
23126342,JUCA
23083221,KatyPerryVEVO
23079952,REACT
22945426,MaireWink
22808163,Nintendo
22668891,Wolfine
22643355,"Fran MG"
22613823,TheEllenShow
22470507,FARRUKOVEVO
22462354,"Eliot Channel Mx"
22458230,"Disney Movie Trailers"
22245713,CuriosoBen
22054991,TheWeekndVEVO
22027433,"The Daily Show with Trevor Noah"
21689920,CNCOVEVO
21681080,Hoy
21565024,TheWillyrex
21293690,wisinofficalVEVO
21282256,"Franco Escamilla"
21205572,HellomaphieMX
21112454,Marshmello
21053905,"The Game Theorists"
20684237,"Premium Sintesi"
20648996,ExatlÃ³n
20088410,KSI
19763535,maurg1
19646827,"Lucas the Spider"
19572825,"LaLiga Santander"
19458740,PrinceRoyceVEVO
18750639,T-Series
18661073,"Jajaja Buen Chiste"
18633650,Mariale
18611099,"Paramount Pictures"
18539849,EminemVEVO
18514980,AuronPlay
18425671,h3h3Productions
18377642,DED
18337275,ZaynVEVO
18237066,"Jake Paul"
18211576,CamilaCabelloVEVO
18046392,DacostasBakery
17961325,"La Capital"
17854401,concienciaradio
17839703,"kien hoang"
17555744,"Jordi ENP"
17488817,QuePariÃ³!
17432030,CAguileraVEVO
17264943,Wismichu
17263960,"Audio Music"
16995160,"Flow La Movie"
16989528,FailArmy
16884972,"David Dobrik"
16699443,BANGTANTV
16538411,CinemaSins
16378595,"Angel Florian"
16179414,Proximity
16118933,WIRED
16071517,DavidBisbalVEVO
15982146,Telemundo
15934769,Google
15830254,"Reto 4 Elementos"
15826614,"La Rosa TV"
15766901,"DANIEL EL TRAVIESO VIDEOS"
15724337,"Caso Cerrado"
15710832,"Ami Rodriguez"
15633092,darkavenger882
15627901,reikVEVO
15554890,Campechaneando
15496412,"Sebastian Acero"
15487800,CalvinHarrisVEVO
15431995,MrMatador
15396900,"Caribers A Bordo"
15388578,"La Rosa de Guadalupe"
15125762,DoctorePoLLo
14933566,"ROBERT PG"
14890255,Arcangel
14883494,"EscorpiÃ³n Dorado el Chido"
14831792,"La Voz Kids Colombia"
14592003,"Hear This Music"
